Oradea - Oradea Vest; Cost:6
Oradea - Episcopia Bihor; Cost:6
Osorhei - Sacadat Hm; Cost:6
Aghires hc - Galaseni hc; Cost:6
Garbau - Nadasel hc; Cost:6
Cluj Napoca - Cluj Napoca Est; Cost:6
Baciu Triaj - Radaia h; Cost:6
Brasov - Darste; Cost:6
Saratel - Domnesti pe Sieu hc; Cost:6
Cernavoda Pod - Saligny Gr. Est; Cost:6
Fundulea - Mostistea hc; Cost:6
Dej Calatori - Caseiu Hm; Cost:6
Dej Calatori - Nima hc; Cost:6
Ulmeni Salaj - Miresu Mare hm; Cost:6
Rauseni hc - Todireni; Cost:6
Buhaceni hc - Dangeni; Cost:6
Campulung Moldovenesc - Pojorata; Cost:6
Mestecanis - Iacobeni; Cost:6
Aradu Nou - Valea Viilor Hm; Cost:6
Copsa Mica - Tarnava hc; Cost:6
Gherla - Livada Somes hc; Cost:6
Vintu de Jos - Sebes Glod hc; Cost:6
Banita - Pestera Bolii h.; Cost:6
Banita - Merisor; Cost:6
Vinga - Ortisoara; Cost:6
Apoldu de Sus - Apoldu de Jos hc; Cost:6
Rahau hc - Sebes Alba; Cost:6
Baile Ocna Sibiului hc - Mandra h; Cost:6
Ronat Triaj Gr. D - Sinandrei; Cost:6
Baile Calacea - Ortisoara; Cost:6
Apahida h - Jucu; Cost:6
Sieut hc - Monor Gledin; Cost:6
Timisesti - Plaiesu hc; Cost:6
Milisauti - Tibeni hc; Cost:6
Tibeni hc - Dornesti; Cost:6
Ivanesti hc - Dragos Voda; Cost:6
Sarulesti - Mostistea hc; Cost:6
Pasarea - Pantelimon; Cost:6
Baia Dobrogea - Ceamurlia de Jos Hm; Cost:6
Bucuresti Nord - Bucuresti Baneasa; Cost:7
Galateni - Olteni; Cost:7
Atirnati - Rosiori Nord; Cost:7
Timisoara Nord - Ronat Triaj Gr. D; Cost:7
Arad - Utvinisu Nou Hm; Cost:7
Draganesti Olt - Stoenesti; Cost:7
Ploiesti Vest - Buda; Cost:7
Azuga - Predeal; Cost:7
Mizil - Sahateni; Cost:7
Mizil - Inotesti; Cost:7
Lunca Ilvei - Ilva Mare; Cost:7
Ilva Mare - Magura Ilvei; Cost:7
Cociu hc - Beclean pe Somes; Cost:7
Ciulnita - Ivanesti hc; Cost:7
Brazi - Prahova; Cost:7
